"Site","Date","Field_DO","Field_Cond","Field_Temp","Turbidity","TSS","ChlA","DOC","DTN","pH","ANC","SC","Na","NH4","K","Mg","Ca","F","Cl","NO3","PO4","SO4","LABNOTES","time","dt_char","FCW_Number","Year","site_code","lat_long","Common_name","Site.Description"
"Poudre at Archery Range",2023-11-09 00:00:00.000000Z,"9.56","1196","9.8000000000000007",3.75,3.960396039603964,,4.9335,1.7415,8.1661,3759.185,1507.299,66.28,0.08,4.58,50.66,161.1,0.52,50.502,4.106,0,352.196,,"16:44:00","2023-11-09 16:44:00",2728,2023,"archery","40.547903, -105.001105","Archery","Poudre below Boxelder Sanitation at Archery Range"
"Poudre at Bellvue Diversion",2023-11-14 00:00:00.000000Z,"9.92","99.61","2.1",0.47,0.7999999999999119,,3.907,0.1855,8.004,951.355,126.0335,4,0.029,0.98,3.2,19.08,0.017,3.352,0.607,0,4.826,,"07:09:00","2023-11-14 07:09:00",2729,2023,"PBD","40.664519,-105.224190","Canyon Mouth","Downstream of the confluence of the North Fork and mainstem of the CLP"
"Poudre at Lincoln",2023-11-14 00:00:00.000000Z,"8.67","442.1","5.2",26.9,10.31249999999979,,4.7985,0.4849,8.017,2870.34,510.254,16.46,0.017,2.0300000000000002,15.14,67.42,0.32,26.624,1.758,0,48.49,"TSS and Turb Confirmed","07:43:00","2023-11-14 07:43:00",2730,2023,"lincoln","40.588073,-105.069231","Lincoln St","Poudre at Lincoln St above Lincoln St Outflow"
"Poudre at Timberline",2023-11-14 00:00:00.000000Z,"7.64","865.8","6.6",9.29,2.4742268041238966,,6.41,2.189,8.056,3470.255,1044.158,41.6,0.13,4.14,28.24,116.44,0.4,42.599999999999994,6.7410000000000005,1.091,209.926,,"08:05:00","2023-11-14 08:05:00",2731,2023,"timberline","40.575, -105.033","Timberline","Poudre at Timberline below Dry Creek"
"Poudre at Prospect",2023-11-14 00:00:00.000000Z,"9.39","877.9","6",4.91,4.0999999999999925,,4.8305,1.4315,8.171,3457.095,1077.3485,43.96,0.08,3.46,31.080000000000002,122.36000000000001,0.43999999999999995,56.193999999999996,4.806,0.487,186.86800000000002,,"08:48:00","2023-11-14 08:48:00",2732,2023,"prospect","40.56703363, -105.0272535","Prospect","Poudre below Spring Creek at Prospect"
"Boxelder Creek above Sanitation District",2023-11-14 00:00:00.000000Z,"9.06","2042","8.6",68.13,54.6999999999999,,4.823,4.9245,8.181999999999999,5275.77,2705.4045,140,0.07,5.739999999999999,107,267.64,0.77,52.464000000000006,17.228,0,636.0840000000001,,"09:10:00","2023-11-14 09:10:00",2733,2023,"boxcreek","40.552003, -105.004576","Boxelder Creek","Boxelder Creek above Boxelder Sanitation"
"Poudre at Boxelder Sanitation (Above Boxelder Creek0",2023-11-14 00:00:00.000000Z,"9.17","1020","5.2",4.45,3.8000000000000256,,5.135,1.053,8.152,3511.65,1202.7060000000001,44.28,0.14,3.3200000000000003,37.879999999999995,136.98000000000002,0.48,42.686,2.887,0,268.564,,"09:23:00","2023-11-14 09:23:00",2734,2023,"boxelder","40.550674,-105.008111","Boxelder","Poudre above Boxelder Sanitation, formerly ELC"
"Poudre at Archery Range",2023-11-14 00:00:00.000000Z,"8.52","1183","6.8",7.99,4.081632653061228,,5.09,1.2305000000000001,8.119,3679.4799999999996,1522.2245,62.24,0.04,4.47,51.18000000000001,161.56,0.52,45.408,4.532,0,356.97400000000005,,"09:42:00","2023-11-14 09:42:00",2735,2023,"archery","40.547903, -105.001105","Archery","Poudre below Boxelder Sanitation at Archery Range"
"Poudre at Bellvue Diversion",2023-11-16 00:00:00.000000Z,"9.9700000000000006","99.62","2.5",0.3,0.20202020202017978,,2.451,0.1641,8.022,1068.3899999999999,132.899,3.88,0.05,1.03,3.14,17.52,0.016,3.246,0.5469999999999999,0,4.588,,"08:40:00","2023-11-16 08:40:00",2736,2023,"PBD","40.664519,-105.224190","Canyon Mouth","Downstream of the confluence of the North Fork and mainstem of the CLP"
"Poudre at Lincoln",2023-11-16 00:00:00.000000Z,"9.34","392.2","5.2",0.52,0.909090909090809,,2.87,0.4546,8.074,2380.215,439.2405,13.24,0.06,1.7199999999999998,13.5,60.44,0.29000000000000004,19.604,1.404,0,43.458,,"09:30:00","2023-11-16 09:30:00",2737,2023,"lincoln","40.588073,-105.069231","Lincoln St","Poudre at Lincoln St above Lincoln St Outflow"
